iter	Passed	Remaining
831	59538	12022
832	59604	11949
833	59671	11877
834	59735	11804
835	59817	11734
836	59889	11663
837	59956	11590
838	60026	11518
839	60103	11448
840	60168	11375
841	60239	11303
842	60305	11231
843	60374	11159
844	60437	11086
845	60489	11011
846	60555	10938
847	60627	10867
848	60686	10793
849	60765	10723
850	60827	10650
851	60888	10576
852	60950	10503
853	61017	10431
854	61099	10361
855	61185	10292
856	61264	10222
857	61332	10150
858	61405	10079
859	61478	10008
860	61536	9934
861	61605	9862
862	61673	9790
863	61743	9718
864	61818	9647
865	61876	9574
866	61935	9501
867	61996	9427
868	62067	9356
869	62139	9285
870	62206	9213
871	62282	9142
872	62353	9070
873	62419	8998
874	62494	8927
875	62565	8856
876	62633	8784
877	62705	8713
878	62771	8640
879	62852	8570
880	62920	8498
881	62995	8427
882	63068	8356
883	63140	8285
884	63219	8214
885	63283	8142
886	63353	8070
887	63420	7998
888	63488	7927
889	63555	7855
890	63618	7782
891	63688	7711
892	63750	7638
893	63823	7567
894	63903	7497
895	63980	7426
896	64062	7356
897	64123	7283
898	64206	7213
899	64280	7142
900	64354	7071
901	64459	7003
902	64609	6940
903	64764	6877
904	64914	6814
905	65075	6751
906	65167	6681
907	65246	6610
908	65327	6539
909	65405	6468
910	65473	6396
911	65539	6324
912	65613	6252
913	65686	6180
914	65756	6108
915	65822	6036
916	65905	5965
917	65968	5892
918	66046	5821
919	66118	5749
920	66190	5677
921	66273	5606
922	66331	5533
923	66397	5461
924	66463	5388
925	66530	5316
926	66599	5244
927	66662	5172
928	66730	5099
929	66803	5028
930	66862	4955
931	66932	4883
932	67009	4812
933	67077	4739
934	67150	4668
935	67209	4595
936	67278	4523
937	67386	4454
938	67455	4382
939	67532	4310
940	67602	4238
941	67665	4166
942	67735	4094
943	67812	4022
944	67877	3950
945	67958	3879
946	68030	3807
947	68123	3736
948	68193	3664
949	68275	3593
950	68349	3521
951	68410	3449
952	68486	3377
953	68542	3304
954	68608	3232
955	68685	3161
956	68748	3088
957	68805	3016
958	68878	2944
959	68956	2873
960	69026	2801
961	69100	2729
962	69165	2657
963	69231	2585
964	69298	2513
965	69376	2441
966	69442	2369
967	69510	2297
968	69572	2225
969	69629	2153
970	69698	2081
971	69764	2009
972	69825	1937
973	69892	1865
974	69954	1793
975	70024	1721
976	70089	1650
977	70166	1578
978	70227	1506
979	70300	1434
980	70365	1362
981	70437	1291
982	70497	1219
983	70563	1147
984	70624	1075
985	70691	1003
986	70765	932
987	70825	860
988	70887	788
989	70947	716
990	71013	644
991	71081	573
992	71159	501
993	71225	429
994	71296	358
995	71362	286
996	71431	214
997	71499	143
998	71566	71
999	71643	0
